Ban list.
458 twats bannned.

IsSuE - None
mozalbt - None
alterhut - None
jenechek - None
Chekov - None
k3K_S - None
N9_1 - None
raylea - None
Kahmu - None
Sycc - None
Antihero - None
Jakey - None
Nhat - None
Spinon - None
PvPeter - None
Forez - None
sephh - None
FleBo - None
Sephyr - throwing and throwing
fuckingian - None
Snellhest - thrower's friend
Mixxan - None
Axeeen - None
xpoint1 - shield pyro
xenar - None
ruebinger - None
komnubuller - None
Sundance - None
bakomdej - None
LiquidSmile - None
imbaCASS - wins only by backdooring :))
Sery - None
loupaok - None
buhka - None
Cryptomancer - None
lilla_bosse - None
omageuze - None
Laky - None
Foernekarn - None
AdrN - None
mekki - None
Eithel - None
FlamerLamer - None
DaNinjaCat - None
Jonasies - None
TPECT - None
Tompa - None
Galez - None
nickelainen - None
Fuzex - None
luckbug - None
NitroGT - Stole mah creep stacks
Glennart - None
LooNiiGooN - None
Hueter - None
WarBoss - None
soap - ugh
mercilesblob - None
Zorkah - None
ANG3L - None
Zappy_Angel - failed as swiftblade
AtotheT - None
rawrapp - None
Pirill - None
lHaze - None
cakeownspie - None
skilly - None
Beggilax - None
Cezerye - None
Avantis - None
b3n3 - None
cibin - leaver
Don_Andres - None
killer_jay - None
swifty_86 - None
D3lxA - Unknown
_ILIDAN_ - None
valtuni - None
h1v - None
Zleven - None
Matsbs - None
iPewPew - None
Noxi - retard
tommaluca - None
REDsoft - baddie
FlaFla - None
Hroft - None
quotenpole - None
d3v10u5 - None
jtmz - Leaver
Vaze - None
ar7ic - ugh
Tak1s - None
tandria - None
FastSwitch - None
DamKa - None
Morthor - None
BruncY - None
Timmbo - None
T0mahawk - None
Jokki - None
maxe - None
soulreleas - Unknown
acty - Unknown
Thrall91 - None
coreup - None
PhoenixZX - None
Chebab - meh...
KrasserTyp - None
D3ception - Unknown
InsaneGod - feeds, afks in the woods, retard
pappakeno - None
Komeneff - None
NachosDude - None
Joshua - None
M4573RCH13F - None
billaros - None
h4unter - None
coolgirl12 - "lol"
d34m0n - Unknown
philstyler - None
GoqSaN - scout pickle ;_;
Arnoz - None
ganjaaa - Unknown
yhea - None
Hakamaru - Two vanguard and a runed axe on leggionair???!?!?!?
feelbetteR - dunno, kinda shit
K1ckfoot - None
PaLuDaniel - None
Yakk90 - None
HoNusername - None
Godfellas - None
quixo - None
pavlitos - None
anilkafe - None
kaliMantan - None
zakur0 - ughh
RicoChento - None
BOOPE - None
PiggyCape - None
erikblond - Unknown
darkommania - None
Kommanche - None
Devilsnight - None
DeuzX - None
cesor - None
Zinni - None
Lamingsucks - None
Laymer - None
hai_neo88 - None
CaKiTarZ - None
Aini - None
Kido_bg - None
GURUR - Unknown
ky4eto - None
sgzurr - quite an idiot
underbarN - None
Alkorel - None
Angel2010 - Picked scout, decided phase boots were good
e_honorable - None
kobik2 - None
tourette_t - None
Hoffern - loggers hatchet on soulstealer, then fed and was an ass
uberblix - None
Dvigatel - None
_Ather_ - None
Imanus - None
VaampY - None
IndraGanda - None
DeAdLyHoOk - None
ToniXXX - None
Break_Runner - None
AelThai - None
Ingu - None
AlexDeLarge - None
Karachu - None
AdrianaLima - None
Daomega - None
IxASU - None
nabwhoo - None
DeosTheCake - None
Ph4ntom - None
DR0GEN - None
MjukPanda - None
xavieryo3 - None
Vercinger - None
Scofi - None
Lysdexi - None
Miitch - None
gigo - None
oO - None
Darkmotion - None
klassny - None
Freder - None
ZsaKosFroDo - None
TurboRaccoon - None
RideLike - Unknown
AbiSh - None
Ysak - None
MrBasement - None
Trumpfbube - None
kas_reddish - he's redissh :)
Romail - None
FragileBones - None
OmGn00B - None
hoNdz0r - 5...4...3...2...1... hoNdz0r has disconnected!
Frofo - None
Kenanmne - None
JoKafaCe - None
yaiseslul - Unknown
Sukol1 - Retarded shitface
SionEltnam - None
AlHattal - he's so 1337 :X
Erah - None
Feanor2012 - Unknown
swift27 - None
afghani1988 - None
Coriollis - None
AtomicGod - None
Mcp4wnag3 - None
Quadskill - retard
Disast - None
iGame - None
GNURIK - Leaver.
Sambosak - None
Mr_WaRRioR - None
chrysaor007 - Unknown
Mege - None
Toreey - None
Aliester - None
EndlessDark - None
eYered - None
Padisah1Gazi - None
mjrrf - None
Knymaan - None
heyjohnison - retard, feeds, afks
n0__0b - None
PeiN_ - None
nidzaftw - fed as ranged vs double melee lane
Fizkmat - Terrible, just terrible
l1337l - Unknown
damian - None
StopDie - Unknown
Daaadom2 - Unknown
DonBier - None
s0ki - None
Urza89 - None
karpis - None
Tyrrek - None
Thief_Sakon - None
Slayer_AA - None
Kalkkuna - None
Qki - None
Afganka - generaly shit
aMiOwnin - retarded whiney bitch
Mitandeer - None
diter - None
JuicyCum - None
AkJack - None
Czade - Unknown
fraggot - None
Tacocatxoxo - None
D0rschbert - Unknown
Detlef` - Unknown
Farmvill2 - None
Kolobus - Unknown
WayeR - None
Horbarnet - Laughed at me :(
ErsGutaCarry - Unknown
EraChanZ - None
Yorki - None
mar7ian - None
lazypeople - None
Sunteri - None
NeWorlDogma - None
Dreadtales - None
Fedekn - None
IloveBitches - None
Infinite - None
Dj_Hero - None
alb4n3so - None
MegaMongole2 - baddie
Fack4 - Russian Scout )))
emiridone - None
Spondyfun - feeder/leaver
octipuss - played shit, then would not concede
OzLarry - Russian
lDreadLockl - None
bdn - None
sha3waza - None
Mangolan - None
Gr8Kam - None
S3RV0 - None
celofalcao - CANT HIT PYRO STUNS
MRVo - Russian, leaver
`amAz1nG` - None
David`Villa - whiney bitch also
SilenZQ` - None
Galaksija10 - None
nikolaevi4 - None
Polyanskiy - None
adiiiii - None
Extra_lights - None
Lilljacob - None
Snuskbulle - None
eN - leaver etc
SiraX4 - None
trelalix - None
kraljsasha - None
_marinho_ - None
QuadratPeter - None
Inwee - None
ziprod - None
jajavlar - None
CAL3 - None
Elvis101 - None
SNIPER`oK - None
Devath - None
``Alucard1 - Doesn\'t call misses, doesn\'t gank as mid
Equivalent - None
Poilo - None
xziz - None
Zensoka - None
BreadLucks - None
Vangola - None
Zadr_tima - Unknown
MoonBeam - None
rosuto - None
Fl4meBoy - None
Xelyzswe - None
iiMPULSE - None
broken_mind - None
brandyy - None
toopick - Russian tard
JogosAtaps` - None
Rektalsalve - None
Antsukaz - None
WTF1337dmg - None
Riider - None
elDarka - None
Gamekingz - None
DOGSBAND - None
Passive123 - None
VeGez - None
TheJoker - None
zynxf4d - None
Biddibabe - None
s8frenzy - None
Dasani - None
neker - None
Hertzschlag - None
Rules - None
timnerenst - None
come2p - None
Obelisk - baddie
K1tcher - None
HoNeka - None
KeepDaHeat - None
Jagularen_ - None
MeNaCe`` - None
JiZinMePants - None
Oidipuss - None
